sourceTypeID,modelYearID,fuelTypeID,engTechID,fuelEngFraction
11,1992,1,1,1
11,1993,1,1,1
11,1994,1,1,1
11,1995,1,1,1
11,1996,1,1,1
11,1997,1,1,1
11,1998,1,1,1
11,1999,1,1,1
11,2000,1,1,1
11,2001,1,1,1
11,2002,1,1,1
11,2003,1,1,1
11,2004,1,1,1
11,2005,1,1,1
11,2006,1,1,1
11,2007,1,1,1
11,2008,1,1,1
11,2009,1,1,1
11,2010,1,1,1
11,2011,1,1,1
11,2012,1,1,1
11,2013,1,1,1
11,2014,1,1,1
11,2015,1,1,1
11,2016,1,1,1
11,2017,1,1,1
11,2018,1,1,1
11,2019,1,1,1
11,2020,1,1,1
11,2021,1,1,1
11,2022,1,1,1
11,2023,1,1,1
11,2024,1,1,1
11,2025,1,1,1
11,2026,1,1,1
11,2027,1,1,1
11,2028,1,1,1
11,2029,1,1,1
11,2030,1,1,1
11,2031,1,1,1
11,2032,1,1,1
11,2033,1,1,1
11,2034,1,1,1
11,2035,1,1,1
11,2036,1,1,1
11,2037,1,1,1
11,2038,1,1,1
11,2039,1,1,1
11,2040,1,1,1
11,2041,1,1,1
11,2042,1,1,1
11,2043,1,1,1
11,2044,1,1,1
11,2045,1,1,1
11,2046,1,1,1
11,2047,1,1,1
11,2048,1,1,1
11,2049,1,1,1
11,2050,1,1,1
11,2051,1,1,1
11,2052,1,1,1
11,2053,1,1,1
11,2054,1,1,1
11,2055,1,1,1
21,1992,1,1,0.991044776
21,1992,2,1,0.008955224
21,1992,5,1,0
21,1992,9,30,0
21,1993,1,1,0.997455471
21,1993,2,1,0.002544529
21,1993,5,1,0
21,1993,9,30,0
21,1994,1,1,0.99694501
21,1994,2,1,0.00305499
21,1994,5,1,0
21,1994,9,30,0
21,1995,1,1,0.99339207
21,1995,2,1,0.00660793
21,1995,5,1,0
21,1995,9,30,0
21,1996,1,1,0.992361553
21,1996,2,1,0.007638447
21,1996,5,1,0
21,1996,9,30,0
21,1997,1,1,0.995944119
21,1997,2,1,0.004055881
21,1997,5,1,0
21,1997,9,30,0
21,1998,1,1,0.996742671
21,1998,2,1,0.003257329
21,1998,5,1,0
21,1998,9,30,0
21,1999,1,1,0.995892019
21,1999,2,1,0.004107981
21,1999,5,1,0
21,1999,9,30,0
21,2000,1,1,0.996084402
21,2000,2,1,0.003262998
21,2000,5,1,0
21,2000,9,30,0.0006526
21,2001,1,1,0.995157385
21,2001,2,1,0.004439064
21,2001,5,1,0
21,2001,9,30,0.000403551
21,2002,1,1,0.99553111
21,2002,2,1,0.00446889
21,2002,5,1,0
21,2002,9,30,0
21,2003,1,1,0.995510032
21,2003,2,1,0.004489968
21,2003,5,1,0
21,2003,9,30,0
21,2004,1,1,0.996236357
21,2004,2,1,0.003763643
21,2004,5,1,0
21,2004,9,30,0
21,2005,1,1,0.996390636
21,2005,2,1,0.003609364
21,2005,5,1,0
21,2005,9,30,0
21,2006,1,1,0.991970527
21,2006,2,1,0.007840544
21,2006,5,1,0
21,2006,9,30,0.000188929
21,2007,1,1,0.998953048
21,2007,2,1,0.000724813
21,2007,5,1,0
21,2007,9,30,0.000322139
21,2008,1,1,0.997629499
21,2008,2,1,0.002194908
21,2008,5,1,0
21,2008,9,30,0.000175593
21,2009,1,1,0.99864173
21,2009,2,1,0.00135827
21,2009,5,1,0
21,2009,9,30,0
21,2010,1,1,0.997017723
21,2010,2,1,0.002556237
21,2010,5,1,0
21,2010,9,30,0.00042604
21,2011,1,1,0.988035052
21,2011,2,1,0.006740816
21,2011,5,1,0
21,2011,9,30,0.005224132
21,2012,1,1,0.99051837
21,2012,2,1,0.00654981
21,2012,5,1,0
21,2012,9,30,0.00293182
21,2013,1,1,0.984686537
21,2013,2,1,0.008838643
21,2013,5,1,0
21,2013,9,30,0.00647482
21,2014,1,1,0.983407262
21,2014,2,1,0.011335633
21,2014,5,1,0
21,2014,9,30,0.005257105
21,2015,1,1,0.985253628
21,2015,2,1,0.006813197
21,2015,5,1,0
21,2015,9,30,0.007933175
21,2016,1,1,0.990668661
21,2016,2,1,0.000773315
21,2016,5,1,0
21,2016,9,30,0.008558024
21,2017,1,1,0.988659173
21,2017,2,1,0.000702529
21,2017,5,1,0
21,2017,9,30,0.010638298
21,2018,1,1,0.974055241
21,2018,2,1,0.001155669
21,2018,5,1,0
21,2018,9,30,0.02478909
21,2019,1,1,0.973792175
21,2019,2,1,0.000367399
21,2019,5,1,0
21,2019,9,30,0.025840426
21,2020,1,1,0.963949076
21,2020,2,1,0.000306035
21,2020,5,1,0
21,2020,9,30,0.035744889
21,2021,1,1,0.937950841
21,2021,2,1,0.003606733
21,2021,5,1,0
21,2021,9,30,0.058442426
21,2022,1,1,0.920711583
21,2022,2,1,0.001046446
21,2022,5,1,0
21,2022,9,30,0.078241971
21,2023,1,1,0.928563558
21,2023,2,1,0.00017266
21,2023,5,1,0.012709487
21,2023,9,30,0.058554295
21,2024,1,1,0.903393539
21,2024,2,1,0.000174555
21,2024,5,1,0.012274972
21,2024,9,30,0.084156933
21,2025,1,1,0.847414524
21,2025,2,1,0.000170522
21,2025,5,1,0.011516091
21,2025,9,30,0.140898863
21,2026,1,1,0.788533574
21,2026,2,1,0.000158077
21,2026,5,1,0.010630867
21,2026,9,30,0.200677482
21,2027,1,1,0.763894973
21,2027,2,1,0.000158577
21,2027,5,1,0.01029384
21,2027,9,30,0.22565261
21,2028,1,1,0.739609393
21,2028,2,1,0.000171698
21,2028,5,1,0.009976792
21,2028,9,30,0.250242117
21,2029,1,1,0.705990384
21,2029,2,1,0.000162337
21,2029,5,1,0.009509685
21,2029,9,30,0.284337593
21,2030,1,1,0.690448491
21,2030,2,1,0.000158276
21,2030,5,1,0.009321514
21,2030,9,30,0.300071719
21,2031,1,1,0.700761936
21,2031,2,1,0.000158655
21,2031,5,1,0.009464023
21,2031,9,30,0.289615386
21,2032,1,1,0.709300618
21,2032,2,1,0.000159753
21,2032,5,1,0.009589406
21,2032,9,30,0.280950223
21,2033,1,1,0.777888164
21,2033,2,1,0.000173299
21,2033,5,1,0.01052301
21,2033,9,30,0.211415526
21,2034,1,1,0.801774199
21,2034,2,1,0.000179592
21,2034,5,1,0.010846236
21,2034,9,30,0.187199973
21,2035,1,1,0.786782452
21,2035,2,1,0.000175651
21,2035,5,1,0.010646601
21,2035,9,30,0.202395296
21,2036,1,1,0.784603772
21,2036,2,1,0.000178276
21,2036,5,1,0.010622993
21,2036,9,30,0.20459496
21,2037,1,1,0.782414212
21,2037,2,1,0.000178872
21,2037,5,1,0.010604044
21,2037,9,30,0.206802872
21,2038,1,1,0.780222896
21,2038,2,1,0.000179801
21,2038,5,1,0.010580648
21,2038,9,30,0.209016655
21,2039,1,1,0.778024828
21,2039,2,1,0.000182407
21,2039,5,1,0.010555836
21,2039,9,30,0.21123693
21,2040,1,1,0.775824782
21,2040,2,1,0.000183528
21,2040,5,1,0.01052806
21,2040,9,30,0.21346363
21,2041,1,1,0.773613124
21,2041,2,1,0.000183221
21,2041,5,1,0.010504959
21,2041,9,30,0.215698697
21,2042,1,1,0.771386998
21,2042,2,1,0.000184802
21,2042,5,1,0.010486361
21,2042,9,30,0.217941838
21,2043,1,1,0.769155655
21,2043,2,1,0.000183798
21,2043,5,1,0.01046807
21,2043,9,30,0.220192477
21,2044,1,1,0.766925612
21,2044,2,1,0.00018545
21,2044,5,1,0.010441139
21,2044,9,30,0.222447799
21,2045,1,1,0.764676545
21,2045,2,1,0.000185811
21,2045,5,1,0.010424493
21,2045,9,30,0.224713151
21,2046,1,1,0.762379328
21,2046,2,1,0.000188262
21,2046,5,1,0.010438639
21,2046,9,30,0.226993771
21,2047,1,1,0.76011099
21,2047,2,1,0.000189979
21,2047,5,1,0.010424655
21,2047,9,30,0.229274375
21,2048,1,1,0.757854373
21,2048,2,1,0.000192205
21,2048,5,1,0.010395306
21,2048,9,30,0.231558116
21,2049,1,1,0.755562467
21,2049,2,1,0.000194892
21,2049,5,1,0.010387583
21,2049,9,30,0.233855057
21,2050,1,1,0.75334997
21,2050,2,1,0.000197837
21,2050,5,1,0.010311655
21,2050,9,30,0.236140539
21,2051,1,1,0.751357551
21,2051,2,1,0.000200883
21,2051,5,1,0.010239192
21,2051,9,30,0.238202374
21,2052,1,1,0.749358858
21,2052,2,1,0.000203974
21,2052,5,1,0.010167082
21,2052,9,30,0.240270087
21,2053,1,1,0.747353866
21,2053,2,1,0.000207108
21,2053,5,1,0.010095322
21,2053,9,30,0.242343703
21,2054,1,1,0.745342548
21,2054,2,1,0.000210288
21,2054,5,1,0.010023912
21,2054,9,30,0.244423252
21,2055,1,1,0.743324876
21,2055,2,1,0.000213513
21,2055,5,1,0.00995285
21,2055,9,30,0.246508762
31,1992,1,1,0.961864431
31,1992,2,1,0.038135569
31,1992,5,1,0
31,1992,9,30,0
31,1993,1,1,0.957507927
31,1993,2,1,0.042490676
31,1993,5,1,0
31,1993,9,30,1.39682E-06
31,1994,1,1,0.966241385
31,1994,2,1,0.033757641
31,1994,5,1,0
31,1994,9,30,9.74598E-07
31,1995,1,1,0.960876653
31,1995,2,1,0.039122516
31,1995,5,1,0
31,1995,9,30,8.30715E-07
31,1996,1,1,0.957531445
31,1996,2,1,0.042468154
31,1996,5,1,0
31,1996,9,30,4.00919E-07
31,1997,1,1,0.955502314
31,1997,2,1,0.04449052
31,1997,5,1,0
31,1997,9,30,7.16554E-06
31,1998,1,1,0.972096949
31,1998,2,1,0.012801541
31,1998,5,1,0.015085884
31,1998,9,30,1.56266E-05
31,1999,1,1,0.909893689
31,1999,2,1,0.03924485
31,1999,5,1,0.05084006
31,1999,9,30,2.1401E-05
31,2000,1,1,0.905577401
31,2000,2,1,0.029729763
31,2000,5,1,0.06467167
31,2000,9,30,2.11655E-05
31,2001,1,1,0.921524831
31,2001,2,1,0.04103348
31,2001,5,1,0.037434091
31,2001,9,30,7.59729E-06
31,2002,1,1,0.872358512
31,2002,2,1,0.034695386
31,2002,5,1,0.092918281
31,2002,9,30,2.78207E-05
31,2003,1,1,0.857356116
31,2003,2,1,0.038647071
31,2003,5,1,0.103996813
31,2003,9,30,0
31,2004,1,1,0.891891765
31,2004,2,1,0.040594263
31,2004,5,1,0.067513971
31,2004,9,30,0
31,2005,1,1,0.910508887
31,2005,2,1,0.035948879
31,2005,5,1,0.053542234
31,2005,9,30,0
31,2006,1,1,0.911308224
31,2006,2,1,0.044021896
31,2006,5,1,0.04466988
31,2006,9,30,0
31,2007,1,1,0.856261565
31,2007,2,1,0.027898595
31,2007,5,1,0.115839841
31,2007,9,30,0
31,2008,1,1,0.886742277
31,2008,2,1,0.030039425
