HR,Trips_All,Proportion,TOD,ProportionTOD
0,131387.747,0.007011689,NT,0.024876376
1,96433.68726,0.005146317,NT,0.018258328
2,81457.57065,0.004347096,NT,0.015422817
3,92008.83748,4.91E-03,NT,0.017420547
4,176465.4106,0.009417321,NT,0.033411181
5,431428.3808,0.023023774,NT,0.081684743
6,804382.045,0.042926963,NT,0.152298142
7,1286255.902,0.06864283,AM,0.505349594
8,1259023.479,0.067189534,AM,0.494650406
9,1044989.974,0.055767339,MD,0.131412318
10,1020727.772,0.054472553,MD,0.128361234
11,1063882.312,0.056775555,MD,0.133788117
12,1123758.317,0.059970921,MD,0.141317801
13,1148326.224,0.061282022,MD,0.144407329
14,1206284.313,0.064375035,MD,0.151695826
15,1344025.169,0.071725767,MD,0.169017375
16,1487369.257,0.079375523,PM,0.5025769
17,1472116.659,0.078561547,PM,0.4974231
18,1130551.119,0.060333428,NT,0.214053554
19,782832.4814,0.041776941,NT,0.148218043
20,592765.5799,0.031633757,NT,0.112231616
21,446809.2516,0.023844595,NT,0.08459689
22,313169.5349,0.016712727,NT,0.059294136
23,201935.7741,0.010776583,NT,0.038233627
