County,Year,LDV_Gas,LDV_Diesel,LDT_Gas_Tk1,LDT_Gas_Tk2,LDT_Diesel,HDV_Gas,HDV_Diesel,Bus_Gas,Bus_Diesel,Motorcycles,Alternate_Fuels
PIM,2022,327621,0,361788,0,0,29782,0,442,0,26525,2
PIM,2021,0,0,0,0,0,0,0,0,0,0,3
PIM,2020,0,0,0,0,0,0,0,0,0,0,3
PIM,2019,0,0,0,0,0,0,0,0,0,0,13
PIM,2018,0,0,0,0,0,0,0,0,0,0,3
PIM,2017,0,0,0,0,0,0,0,0,0,0,8
PIM,2016,0,0,0,0,0,0,0,0,0,0,2
PIM,2015,0,0,0,0,0,0,0,0,0,0,2
PIM,2014,0,0,0,0,0,0,0,0,0,0,6
PIM,2013,0,0,0,0,0,0,0,0,0,0,11
PIM,2012,0,0,0,0,0,0,0,0,0,0,6
PIM,2011,0,0,0,0,0,0,0,0,0,0,5
PIM,2010,0,0,0,0,0,0,0,0,0,0,4
PIM,2009,0,0,0,0,0,0,0,0,0,0,2
PIM,2008,0,0,0,0,0,0,0,0,0,0,56
PIM,2007,0,0,0,0,0,0,0,0,0,0,61
PIM,2006,0,0,0,0,0,0,0,0,0,0,6
PIM,2005,0,0,0,0,0,0,0,0,0,0,7
PIM,2004,0,0,0,0,0,0,0,0,0,0,9
PIM,2003,0,0,0,0,0,0,0,0,0,0,5
PIM,2002,0,0,0,0,0,0,0,0,0,0,3
PIM,2001,0,0,0,0,0,0,0,0,0,0,2
PIM,2000,0,0,0,0,0,0,0,0,0,0,1
PIM,1999,0,0,0,0,0,0,0,0,0,0,2
PIM,1998,0,0,0,0,0,0,0,0,0,0,2
PIM,1997,0,0,0,0,0,0,0,0,0,0,1
PIM,1996,0,0,0,0,0,0,0,0,0,0,1
PIM,1995,0,0,0,0,0,0,0,0,0,0,1
PIM,1994,0,0,0,0,0,0,0,0,0,0,0
PIM,1993,0,0,0,0,0,0,0,0,0,0,0
PIM,1992,0,0,0,0,0,0,0,0,0,0,1
PIM,1991,0,0,0,0,0,0,0,0,0,0,0
PIM,1990,0,0,0,0,0,0,0,0,0,0,0
PIM,1989,0,0,0,0,0,0,0,0,0,0,0
PIM,1988,0,0,0,0,0,0,0,0,0,0,0
PIM,1987,0,0,0,0,0,0,0,0,0,0,0
PIM,1986,0,0,0,0,0,0,0,0,0,0,1
PIM,1985,0,0,0,0,0,0,0,0,0,0,1
PIM,1984,0,0,0,0,0,0,0,0,0,0,0
PIM,1983,0,0,0,0,0,0,0,0,0,0,0
PIM,1982,0,0,0,0,0,0,0,0,0,0,0
PIM,1981,0,0,0,0,0,0,0,0,0,0,0
PIM,1980,0,0,0,0,0,0,0,0,0,0,0
PIM,1979,0,0,0,0,0,0,0,0,0,0,0
PIM,1978,0,0,0,0,0,0,0,0,0,0,1
PIM,1977,0,0,0,0,0,0,0,0,0,0,0
PIM,1976,0,0,0,0,0,0,0,0,0,0,4
