source,measures,dim1,dim1_value,dim2,dim2_value,Scenario,measure_name,measure_value
ABM,Mode Share,Mode,Auto,,,Run061,Trips,1166199.0
ABM,Mode Share,Mode,Bike,,,Run061,Trips,25061.0
ABM,Mode Share,Mode,SchoolBus,,,Run061,Trips,17224.0
ABM,Mode Share,Mode,Taxi,,,Run061,Trips,4060.0
ABM,Mode Share,Mode,Transit,,,Run061,Trips,25667.0
ABM,Mode Share,Mode,Walk,,,Run061,Trips,169121.0
ABM,Mode Share,Mode,Auto,,,Run061,Share,0.828659477649908
ABM,Mode Share,Mode,Bike,,,Run061,Share,0.0178074541046462
ABM,Mode Share,Mode,SchoolBus,,,Run061,Share,0.0122387610030895
ABM,Mode Share,Mode,Taxi,,,Run061,Share,0.0028848914115503
ABM,Mode Share,Mode,Transit,,,Run061,Share,0.0182380561232175
ABM,Mode Share,Mode,Walk,,,Run061,Share,0.120171359707589
ABM,PMT,Mode,Auto,,,Run061,TotalPMT,5618502.25
ABM,PMT,Mode,Bike,,,Run061,TotalPMT,59338.94
ABM,PMT,Mode,SchoolBus,,,Run061,TotalPMT,97078.18
ABM,PMT,Mode,Taxi,,,Run061,TotalPMT,8618.07
ABM,PMT,Mode,Transit,,,Run061,TotalPMT,180074.04
ABM,PMT,Mode,Walk,,,Run061,TotalPMT,136210.95
ABM,PMT,Mode,Auto,,,Run061,PMTRatio,0.921092755482064
ABM,PMT,Mode,Bike,,,Run061,PMTRatio,0.0097279782618196
ABM,PMT,Mode,SchoolBus,,,Run061,PMTRatio,0.0159149190183885
ABM,PMT,Mode,Taxi,,,Run061,PMTRatio,0.0014128394881816
ABM,PMT,Mode,Transit,,,Run061,PMTRatio,0.029521193783341
ABM,PMT,Mode,Walk,,,Run061,PMTRatio,0.0223303139662051
ABM,VMT,,,,,Run061,VMT,28276549.907973
ABM,CongestedVMT,,,,,Run061,CongestedVMT,1561349.339268
ABM,CongestedVMTPCT,,,,,Run061,CongestedVMTPCT,0.0552171090302553
ABM,VMT,,,,,Run061,VMTPerCapita,20.109027201683
ABM,VHT,,,,,Run061,VHT,654199.045103
ABM,VHT,,,,,Run061,VHTPerCapita,0.465237323368858
ABM,CommuteTime,Mode,Auto,,,Run061,CommuteTime,20.1197739892459
ABM,CommuteTime,Mode,Bike,,,Run061,CommuteTime,25.9772923777019
ABM,CommuteTime,Mode,Taxi,,,Run061,CommuteTime,5.48507936507936
ABM,CommuteTime,Mode,Transit,,,Run061,CommuteTime,63.0140914359305
ABM,CommuteTime,Mode,Walk,,,Run061,CommuteTime,21.7816929133858
ABM,AverageTransitTravelTime,,,,,Run061,AverageTransitTravelTime,48.0333299567538
ABM,HighwayLaneMiles,LINKCLASS,freeway,,,Run061,HighwayLaneMiles,612.284471
ABM,HighwayLaneMiles,LINKCLASS,parkway,,,Run061,HighwayLaneMiles,43.900421
ABM,HighwayLaneMiles,LINKCLASS,major_arterial,,,Run061,HighwayLaneMiles,1824.467818
ABM,HighwayLaneMiles,LINKCLASS,minor_arterial,,,Run061,HighwayLaneMiles,2215.157417
ABM,HighwayLaneMiles,LINKCLASS,collector,,,Run061,HighwayLaneMiles,280.388718
ABM,HighwayLaneMiles,LINKCLASS,ramp,,,Run061,HighwayLaneMiles,103.731637
ABM,HighwayLaneMiles,LINKCLASS,frontage_road,,,Run061,HighwayLaneMiles,172.542579
ABM,TransitMilesPerFrequency,Mode,Rural,TimePeriod,PK,Run061,TransitMilesPerFrequency,137.828019
ABM,TransitMilesPerFrequency,Mode,Regular,TimePeriod,PK,Run061,TransitMilesPerFrequency,1320.315456
ABM,TransitMilesPerFrequency,Mode,Express,TimePeriod,PK,Run061,TransitMilesPerFrequency,260.770737
ABM,TransitMilesPerFrequency,Mode,CatTran,TimePeriod,PK,Run061,TransitMilesPerFrequency,45.570595
ABM,TransitMilesPerFrequency,Mode,BRT,TimePeriod,PK,Run061,TransitMilesPerFrequency,87.267907
ABM,TransitMilesPerFrequency,Mode,Rural,TimePeriod,OP,Run061,TransitMilesPerFrequency,137.318824
ABM,TransitMilesPerFrequency,Mode,Regular,TimePeriod,OP,Run061,TransitMilesPerFrequency,1066.446501
ABM,TransitMilesPerFrequency,Mode,Express,TimePeriod,OP,Run061,TransitMilesPerFrequency,0.0
ABM,TransitMilesPerFrequency,Mode,CatTran,TimePeriod,OP,Run061,TransitMilesPerFrequency,45.570595
ABM,TransitMilesPerFrequency,Mode,BRT,TimePeriod,OP,Run061,TransitMilesPerFrequency,87.267907
ABM,TransitQuarterMilePopEmp,Type,Total,,,Run061,Population,1406162.0
ABM,TransitQuarterMilePopEmp,Type,Number,,,Run061,Population,546011.942969
ABM,TransitQuarterMilePopEmp,Type,Percentage,,,Run061,Population,0.388299
ABM,TransitQuarterMilePopEmp,Type,TotalDISADV,,,Run061,Population,667207.0
ABM,TransitQuarterMilePopEmp,Type,NumberDISADV,,,Run061,Population,384090.092549
ABM,TransitQuarterMilePopEmp,Type,PercentageDISADV,,,Run061,Population,0.575669
ABM,TransitQuarterMilePopEmp,Type,Total,,,Run061,Jobs,508054.0
ABM,TransitQuarterMilePopEmp,Type,Number,,,Run061,Jobs,310864.243936
ABM,TransitQuarterMilePopEmp,Type,Percentage,,,Run061,Jobs,0.611872
ABM,TransitQuarterMilePopEmp,Type,TotalDISADV,,,Run061,Jobs,154544.0
ABM,TransitQuarterMilePopEmp,Type,NumberDISADV,,,Run061,Jobs,112741.29189
ABM,TransitQuarterMilePopEmp,Type,PercentageDISADV,,,Run061,Jobs,0.729509
ABM,AverageTransitSpeed,TimePeriod,PK,,,Run061,AverageTransitSpeed,13.202103
ABM,AverageTransitSpeed,TimePeriod,OP,,,Run061,AverageTransitSpeed,13.078175
ABM,AverageTransitSpeed,TimePeriod,DY,,,Run061,AverageTransitSpeed,13.201386
ABM,TravelTimeIndex,TimePeriod,AM,,,Run061,TravelTimeIndex,1.320437
ABM,TravelTimeIndex,TimePeriod,PM,,,Run061,TravelTimeIndex,1.588603
ABM,Speed,,,,,Run061,Speed,43.2231598618751
ABM,Accessibility,,,,,Run061,Auto Accessibility Off Peak,84356.3796836426
ABM,Accessibility,,,,,Run061,Auto Accessibility Peak,57042.4149024153
ABM,Accessibility,,,,,Run061,Auto Accessibility Off Peak within 30 Minutes,405109.718242384
ABM,Accessibility,,,,,Run061,Auto Accessibility Peak within 30 Minutes,296677.466984295
ABM,Accessibility,,,,,Run061,Auto Accessibility Percentage Off Peak within 30 Minutes,0.797375314912162
ABM,Accessibility,,,,,Run061,Auto Accessibility Percentage Peak within 30 Minutes,0.583948688494323
ABM,Accessibility,,,,,Run061,Transit Accessibility Off Peak,1673.53616038282
ABM,Accessibility,,,,,Run061,Transit Accessibility Peak,1682.11325552981
ABM,Accessibility,,,,,Run061,Transit Accessibility Off Peak within 45 Minutes,30731.3569372246
ABM,Accessibility,,,,,Run061,Transit Accessibility Off Peak within 60 Minutes,70081.8130249545
ABM,Accessibility,,,,,Run061,Transit Accessibility Off Peak within 90 Minutes,137323.325695916
ABM,Accessibility,,,,,Run061,Transit Accessibility Percentage Off Peak within 45 Minutes,0.0604883672547104
ABM,Accessibility,,,,,Run061,Transit Accessibility Percentage Off Peak within 60 Minutes,0.137941661762243
ABM,Accessibility,,,,,Run061,Transit Accessibility Percentage Off Peak within 90 Minutes,0.270292775366234
ABM,Accessibility,,,,,Run061,Transit Accessibility Peak within 45 Minutes,29951.2986632509
ABM,Accessibility,,,,,Run061,Transit Accessibility Peak within 60 Minutes,65717.874160098
ABM,Accessibility,,,,,Run061,Transit Accessibility Peak within 90 Minutes,135170.458300382
ABM,Accessibility,,,,,Run061,Transit Accessibility Percetange Peak within 45 Minutes,0.0589529826814688
ABM,Accessibility,,,,,Run061,Transit Accessibility Percentage Peak within 60 Minutes,0.129352143984887
ABM,Accessibility,,,,,Run061,Transit Accessibility Percentage Peak within 90 Minutes,0.26605529786279
ABM,Disadvantage Zone Home to Work Commute Time,Mode,Auto,Disadvantage Zone,0,Run061,CommuteTime,21.0788019275507
ABM,Disadvantage Zone Home to Work Commute Time,Mode,Auto,Disadvantage Zone,1,Run061,CommuteTime,17.2134145647302
ABM,Disadvantage Zone Home to Work Commute Time,Mode,Bike,Disadvantage Zone,0,Run061,CommuteTime,25.1836024844721
ABM,Disadvantage Zone Home to Work Commute Time,Mode,Bike,Disadvantage Zone,1,Run061,CommuteTime,25.5985754985755
ABM,Disadvantage Zone Home to Work Commute Time,Mode,Taxi,Disadvantage Zone,0,Run061,CommuteTime,8.53111111111111
ABM,Disadvantage Zone Home to Work Commute Time,Mode,Taxi,Disadvantage Zone,1,Run061,CommuteTime,4.94
ABM,Disadvantage Zone Home to Work Commute Time,Mode,Transit,Disadvantage Zone,0,Run061,CommuteTime,63.9988884138521
ABM,Disadvantage Zone Home to Work Commute Time,Mode,Transit,Disadvantage Zone,1,Run061,CommuteTime,60.3618572505655
ABM,Disadvantage Zone Home to Work Commute Time,Mode,Walk,Disadvantage Zone,0,Run061,CommuteTime,22.729496124031
