"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run104","Trips",1138771
"ABM","Mode Share","Mode","Bike","","","Run104","Trips",24688
"ABM","Mode Share","Mode","SchoolBus","","","Run104","Trips",17262
"ABM","Mode Share","Mode","Taxi","","","Run104","Trips",4082
"ABM","Mode Share","Mode","Transit","","","Run104","Trips",20385
"ABM","Mode Share","Mode","Walk","","","Run104","Trips",162930
"ABM","Mode Share","Mode","Auto","","","Run104","Share",0.832363144114762
"ABM","Mode Share","Mode","Bike","","","Run104","Share",0.0180452270929847
"ABM","Mode Share","Mode","SchoolBus","","","Run104","Share",0.0126173327154529
"ABM","Mode Share","Mode","Taxi","","","Run104","Share",0.00298366076610351
"ABM","Mode Share","Mode","Transit","","","Run104","Share",0.0149000305529201
"ABM","Mode Share","Mode","Walk","","","Run104","Share",0.119090604757777
"ABM","PMT","Mode","Auto","","","Run104","TotalPMT",5554969.7
"ABM","PMT","Mode","Bike","","","Run104","TotalPMT",61455.82
"ABM","PMT","Mode","SchoolBus","","","Run104","TotalPMT",94213.66
"ABM","PMT","Mode","Taxi","","","Run104","TotalPMT",8867.14
"ABM","PMT","Mode","Transit","","","Run104","TotalPMT",126867.37
"ABM","PMT","Mode","Walk","","","Run104","TotalPMT",134596.93
"ABM","PMT","Mode","Auto","","","Run104","PMTRatio",0.928773948734094
"ABM","PMT","Mode","Bike","","","Run104","PMTRatio",0.0102752251941341
"ABM","PMT","Mode","SchoolBus","","","Run104","PMTRatio",0.015752235880403
"ABM","PMT","Mode","Taxi","","","Run104","PMTRatio",0.00148255869546472
"ABM","PMT","Mode","Transit","","","Run104","PMTRatio",0.021211836349064
"ABM","PMT","Mode","Walk","","","Run104","PMTRatio",0.0225041951468406
"ABM","VMT","","","","","Run104","VMT",30692174.369671
"ABM","CongestedVMT","","","","","Run104","CongestedVMT",1861244.51174
"ABM","CongestedVMTPCT","","","","","Run104","CongestedVMTPCT",0.0606423151817885
"ABM","VMT","","","","","Run104","VMTPerCapita",22.5382766450315
"ABM","VHT","","","","","Run104","VHT",725795.332005
"ABM","VHT","","","","","Run104","VHTPerCapita",0.532975467406629
"ABM","CommuteTime","Mode","Auto","","","Run104","CommuteTime",20.4668205779613
"ABM","CommuteTime","Mode","Bike","","","Run104","CommuteTime",26.3384637134779
"ABM","CommuteTime","Mode","Taxi","","","Run104","CommuteTime",4.61195652173913
"ABM","CommuteTime","Mode","Transit","","","Run104","CommuteTime",60.4074604414925
"ABM","CommuteTime","Mode","Walk","","","Run104","CommuteTime",22.8953409815169
"ABM","AverageTransitTravelTime","","","","","Run104","AverageTransitTravelTime",47.3999612460142
"ABM","HighwayLaneMiles","LINKCLASS","freeway","","","Run104","HighwayLaneMiles",608.017799
"ABM","HighwayLaneMiles","LINKCLASS","parkway","","","Run104","HighwayLaneMiles",43.900421
