experiment,AV_Rates,EV_Rates,Ecommerce,HH_EMP_Distribution,HH_EMP_Growth,Heavy_Medium_Truck_Travel,Incentives_Special_AreaPop,Road_User_Fee,Roadway_Capacity_Improvement,Teleworking,Transit_Headways,Transit_Service_Expansion
1,0.42642890044602316,0.6294161730961257,0.06482530058233692,0.8942061644485075,0.07059548501528481,0.2914410747280546,0.07471769480436138,0.06533992150644086,High,0.2607771188926703,1.0354996085993333,No-Expansion
2,0.4510986001869182,0.5576034105449093,0.13754613621637166,0.17258148790393502,0.45295432833393445,0.5880430295492844,0.11511939152373793,0.0004997210965993379,High and Medium,0.20945571728015844,0.8568386318317808,Expansion
3,0.40343256803548766,0.2346348883473724,0.03845661685791314,0.5614120656276372,0.9406447565807474,0.10406736295811453,0.4662872188648276,0.08797423860373332,High and Medium,0.1494887753704468,0.744309271142595,No-Expansion
4,0.7252071336830879,0.09896346992676242,0.1425387510845526,0.9970046000325016,0.5385449829793234,0.565943526181094,0.44218861199656734,0.030720768726891473,High and Medium,0.3296314516227743,1.3376101909464655,Expansion
5,0.8713630066254834,0.3779130699186228,0.07965514172036513,0.7989712441293558,0.47852840377671346,0.3737745899092213,0.25175527026993855,0.002256910351469649,High,0.36385972765510133,0.6202462892408814,Expansion
6,0.7231823159715085,0.5488046558130456,0.07691847089727576,0.9783516756790993,0.12322657288403227,0.032647742345000424,0.4236585049978721,0.06619327183622441,High and Medium,0.24897657142594057,1.2489046251031755,No-Expansion
7,0.227225499713123,0.9983593196910339,0.16539505209568045,0.19469238214313567,0.8614329255185087,0.9859915763812878,0.30334362526805786,0.06192389978765067,High and Medium,0.11534776993130849,1.8276574501031284,No-Expansion
8,0.893452124673694,0.8862747911631937,0.07120629811183932,0.5262563244526673,0.49378757523985173,0.6909253222759791,0.38222420874594193,0.05524567311259659,All,0.26758680915599653,0.9415268874618313,No-Expansion
9,0.5848129753439018,0.07360770085045659,0.07543544275714834,0.7401944902859039,0.7503594481262159,0.13230240995156062,0.15255222820526995,0.043760787531196374,High,0.39288814894017277,1.4282705762130612,Expansion
10,0.8202438806970365,0.5196447899892455,0.10174047489803358,0.1501785533340289,0.4485081510284144,0.6427558389333732,0.3366254456076753,0.0722118651482405,All,0.28439229868408245,0.6611670235239846,Expansion
11,0.19143427602376256,0.2636434747649761,0.006700923902773707,0.10427002397496243,0.05018947531131406,0.26819451284059864,0.19617996014084954,0.00653683943735415,High and Medium,0.2784219560658655,1.3102806350700176,Expansion
12,0.06705442982395902,0.06016434643204681,0.09322235814845053,0.024075796905038815,0.0802007242779968,0.1211183591079435,0.2816201623151208,0.017788985349688258,All,0.23320703090844655,1.3157706333063386,Expansion
13,0.05764462057238826,0.18569716019562083,0.045485972122304985,0.5470170397337887,0.960650193745248,0.46244292182885366,0.06860888079892602,0.011632672421431435,High,0.16560449680179093,1.7025860488851303,Expansion
14,0.26799108404454064,0.2667666424680628,0.18008830471795378,0.5997386217892045,0.8249430949385108,0.15542150864490334,0.24980310523726287,0.0907039301379024,High,0.20717837979442474,0.6315796196871213,Expansion
15,0.7495281890126044,0.5933418864628915,0.1934532782567438,0.24212123664996377,0.7220124345756175,0.772186310104618,0.4173690734758648,0.08880567613482637,All,0.10341773596310894,0.5627178627589728,No-Expansion
16,0.8646930127112598,0.9563704273796337,0.161419203443232,0.28088158069212377,0.20339944539892385,0.6413367022909253,0.3185386840588785,0.032561843746570146,All,0.3122200894479129,0.9677173219633312,No-Expansion
17,0.5671156522876206,0.22689407127449307,0.11901438373131593,0.9229100705953133,0.41394783982469713,0.9394273919336951,0.30797208056441633,0.04891340794529711,All,0.13737469664815422,1.7886127869253414,Expansion
18,0.24378401358388774,0.569895762830395,0.017900704246172128,0.6440885874712302,0.6403281781657456,0.1497826296535565,0.3953104361385864,0.07052375882241917,High,0.3896818972562077,1.7873409986022781,No-Expansion
19,0.8160664385774986,0.8707513857730741,0.00489641232298054,0.51753931669337,0.5042895400006553,0.045831806549805176,0.2075598620844062,0.09619071071379341,High,0.340930113430303,1.936868607258687,Expansion
20,0.9569859291939503,0.36271009408940613,0.1733301452800889,0.7632155347933596,0.6721472452565537,0.971301014784912,0.11209663992142976,0.034911239805585886,All,0.26411464205956336,1.2094019605307489,Expansion
21,0.9846410377692194,0.8792779106201999,0.05935068242160684,0.9025766790697338,0.01670163230266082,0.4493868774738986,0.02107377467215368,0.06735664937352721,High and Medium,0.2210817263514593,0.558003304601905,No-Expansion
22,0.4640897995766135,0.33131477860961767,0.1174366952843376,0.12584165676800513,0.4647830398001525,0.3447905100066564,0.2693064072615246,0.031133029911688093,All,0.1718265010491445,1.7651047223864218,No-Expansion
23,0.353057887027686,0.7529593238466257,0.06779245563857787,0.3883974742640335,0.6049636114149253,0.35281454058601047,0.43718596269073823,0.05962040118924189,High and Medium,0.34924736189948086,1.6395983271432981,No-Expansion
24,0.01614560602102858,0.5876217206865763,0.18481857481336028,0.5335722442184142,0.6807325540208745,0.22271650257659592,0.1613738108253693,0.02146885925102865,All,0.30857567098691263,1.3642965021245048,No-Expansion
25,0.8384447068132843,0.9694867476595809,0.07178633999808777,0.8016325549412312,0.48530067841686225,0.4568840300067832,0.2623941650844535,0.029865479587987923,All,0.18850967947045166,1.8056605778476675,Expansion
26,0.497494581860056,0.9154771287523584,0.025927451562180005,0.177237448337148,0.6562002673921268,0.06680685073334579,0.23944090055599854,0.026064683243615563,All,0.32400276514337933,1.6000558884125105,No-Expansion
27,0.07919121876250884,0.9797889688733937,0.051674880062134824,0.208199330760782,0.13840840577792457,0.8807408522724036,0.3897304888352665,0.032174594953527584,All,0.13162221376394223,1.5789347654347166,No-Expansion
28,0.8892592574719212,0.7617617041303371,0.198285479273244,0.7551647047148553,0.9815056318899753,0.6934671045232768,0.13919543878000282,0.07705009521578675,High,0.3827851987934182,0.9076306835849661,No-Expansion
29,0.29278654876516064,0.4443844223728513,0.0749654219214815,0.5860240335521856,0.9238701018851848,0.3627898229340991,0.17714074073960207,0.06339764825570614,High,0.2042633777324234,0.699923666998205,Expansion
30,0.7819077661712133,0.4383694620113342,0.1316505428117621,0.6085330568999283,0.19833256366843505,0.5806444633166427,0.2902072001754851,0.0936378753021836,All,0.14589932267339262,1.731519752661887,No-Expansion
31,0.3395237155817503,0.337266800680028,0.057841879273954344,0.0886388010434539,0.5115585745414246,0.6259487294966525,0.3960681113192648,0.019781741175572742,High,0.3710573159623686,1.5887834612552831,Expansion
32,0.6621419478691595,0.12485724903538714,0.12670115729958595,0.9416629756117777,0.760936553187876,0.572457569681438,0.4072048441235604,0.024466653225201158,High and Medium,0.2957838554147719,1.2506549067467403,Expansion
33,0.14232586129252828,0.7243921995873982,0.13472966906712391,0.10844996066231471,0.0276405761916443,0.610549669692582,0.05422331023381885,0.027927522312463218,High,0.25392076512534795,1.904107304160819,Expansion
34,0.9697753882837249,0.17787634799000485,0.053663250539614626,0.3509954531638145,0.0623578386571774,0.21491529644099955,0.08388381955332297,0.045221984172245246,All,0.30008391254852496,1.0194970211430912,Expansion
35,0.4827803030083201,0.11144398687152784,0.02048170919636241,0.5091143266355683,0.42068576999115975,0.4283850169946882,0.4673671711386591,0.05815819320588622,High and Medium,0.12494210017401813,0.6104719268850289,Expansion
36,0.5284893733967825,0.8217228554842355,0.06979840804099657,0.6778702593688817,0.8976686290957981,0.7415432677775908,0.2219564895315155,0.04197330216161469,High and Medium,0.13492647302817445,1.175701419568272,No-Expansion
37,0.27695176307469316,0.7782854343153527,0.03587212492730083,0.47977146298643947,0.3313313893519214,0.41661901778610816,0.36393041939896964,0.009843275381486473,High,0.23820568162321692,1.4986865009442356,No-Expansion
38,0.9214373735756515,0.15391863928517924,0.18795230787693606,0.12458906365581696,0.5719715136436575,0.016599372980645406,0.04544938473841867,0.06057522528807714,High and Medium,0.289144551879036,1.223697493832565,Expansion
39,0.7047675907025117,0.7875859816248001,0.108870652679205,0.49466578017538443,0.09012728208080173,0.30723050592946133,0.3155889687135556,0.04165047641528385,All,0.32194271498060184,1.0056532309177042,Expansion
